When ye are in the service of your fellow beings ye are only in the service of your God~Mosiah~2~17~
Adam fell that men might be; and men are, that they might have joy. And the Messiah cometh in the fullness of time, that he may redeem the children of men from the fall.And because that they are redeemed from the fall they have become free forever, knowing good from evil; to act for themselves and not to be acted upon, save it be by the punishment of the law at the great and last day, according to the commandments which God has given.~2 Nephi~2~25~26
Wherefore, ye must press forward with a steadfastness in Christ, having a perfect brightness of hope, and a love of God and of all men. Wherefore, if ye shall press forward, feasting upon the word of Christ, and endure to the end, behold, thus saith the Father: Ye shall have eternal life.~2 Nephi~31~20~
Consider on the blessed and happy state of those that keep the commandments of God. For behold, they are blessed in all things, both temporal and spiritual.~Mosiah~2~41~
Believe in God; believe that he is, and that he created all things, both in heaven and in earth; believe that he has all wisdom, and all power, both in heaven and in earth; believe that man doth not comprehend all the things which the Lord can comprehend.~Mosiah~4~9~
And he shall go forth, suffering pains and afflictions and temptations of every kind; and this that the word might be fulfilled which saith he will take upon him the pains and the sicknesses of his people.~Alma~7~11~13
By small and simple things are great things brought to pass.~Alma~37~6~
O, remember, my son, and learn wisdom in thy youth; yea, learn in thy youth to keep the commandments of God.~Alma~37~35~
And now, my sons, remember, remember that it is upon the rock of our Redeemer, who is Christ, the Son of God, that ye must build your foundation.~Helaman~5~12~
Behold, I am Jesus Christ, whom the prophets testified shall come into the world. And behold, I am the light and the life of the world.~3 Nephi~11~10~11
Therefore I would that ye should be perfect even as I, or your Father who is in heaven is perfect.~3 Nephi~12~48~
What manner of men ought ye to be? Verily I say unto you, even as I am.~3 Nephi~27~27~
And if men come unto me I will show unto them their weakness. I give unto men weakness that they may be humble; and my grace is sufficient for all men that humble themselves before me; for if they humble themselves before me, and have faith in me, then will I make weak things become strong unto them.~Ether~12~27~
But charity is the pure love of Christ, and it endureth forever.~Moroni~7~47~
And when ye shall receive these things, I would exhort you that ye would ask God, the Eternal Father, in the name of Christ, if these things are not true.~Moroni~10~4~5
Wherefore, redemption cometh in and through the Holy Messiah; for he is full of grace and truth. Behold, he offereth himself a sacrifice for sin, to answer the ends of the law, unto all those who have a broken heart and a contrite spirit; and unto none else can the ends of the law be answered.~2 Nephi~2~6~7
I say unto you, my brethren, that if you should render all the thanks and praise which your whole soul has power to possess, to that God who has created you, and has kept and preserved you, and has caused that ye should rejoice, and has granted that ye should live in peace one with another. I say unto you that if ye should serve him who has created you from the beginning, and is preserving you from day to day, by lending you breath, that ye may live and move and do according to your own will, and even supporting you from one moment to another—I say, if ye should serve him with all your whole souls yet ye would be unprofitable servants.~Mosiah~2~20~21
Now ye may suppose that this is foolishness in me; but behold I say unto you, that by small and simple things are great things brought to pass; and small means in many instances doth confound the wise. And the Lord God doth work by means to bring about his great and eternal purposes; and by very small means the Lord doth confound the wise and bringeth about the salvation of many souls.~Alma~37~6~7
